"","Month","Location","Acari","Amphipoda","Aranae","Baetidae","Caenidae","Calamoceratidae","Ceratopogonidae","Chaoboridae","Chironomidae (L)","Chironomidae(pupa)","Cladocera","Colembola","Coleoptera","Coleoptera (larva)","Copepoda","Corixidae","Diptera (adult)","Diptera (pupa)","Dytiscidae","Elmidae","Empididae","Ephemeroptera","Filamentous Algae","Formicidae","Gerrridae","Helicopsychidae","Hemiptera","Hydracarina","Hydropsychidae","Hymenoptera","Insect Remains","Invertebrate eggs","Isoptera","Lampyridae","Leptoceridae","Leptohyphes","Leptophlebiidae","Libellulidae","Naucoridae","Noteridae","Odonata (N)","Organic matter","Orthoptera","Ostracoda","Philopotamidae","Plant Matter","Plecoptera","Pleidae","Pseudoscorpionida","Psocoptera","Psychodidae","Pyralidae","Scales","Sediments","Seeds and Fruits","Shrimp (L)","Simullidae","Staphynilidae","Thysanura","Tingidae","Trichoptera","Trichoptera (L)","Vellidae","Vespidae","Biome","Lat","Lon","Date","Season","Aquatic_Biomass","Terrestrial_Biomass","Main_Source","Biomass_ratio","Resource_richness","Levins_index","EVI_mean","Precip_p1_MERGE","Precip_p15_MERGE"
"1","January","Curralinho",0,0,0,0.019169329,0,0,0,0,0.002875399,0,0.002875399,0,0,0,0,0,0,0.001597444,0,0,0,0.581469649,0.055910543,0,0,0,0,0,0,0,0.204472843,0.000319489,0,0,0,0.051118211,0.07028754,0,0,0,0,0.006389776,0,0.002875399,0,0,0,0,0,0,0.000319489,0,0,0.000319489,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-01-20,"Dry",58.1,0,"Aquatic",Inf,14,0.312131219,0.122792857,0,0.125
"2","April","Curralinho",0,0,0,0,0,0.000687758,0,0.045392022,0.101788171,0.000687758,0.002751032,0,0,0,0,0,0,0,0,0,0,0.00343879,0.247592847,0.000687758,0.004126547,0,0,0,0.006877579,0.000687758,0.467675378,0.00343879,0,0,0,0.04264099,0,0,0,0,0,0.006877579,0,0,0,0.063961486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000687758,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-04-14,"Rainy",20.5,0.2,"Aquatic",102.5,17,0.032138697,0.125814288,0.3125,17.5625
"3","July","Curralinho",0,0,0,0.003445306,0,0,0,0,0,0,0,0.802899799,0.001435544,0,0,0,0,0,0.002871088,0.014355441,0,0,0,0.005167959,0,0,0.052253804,0,0.001004881,0,0.096468562,0,0,0,0,0,0,0,0.000287109,0,0.002871088,0,0.004306632,0.002153316,0,0,0,0,0,0.000574218,0,0.000287109,0,0,0,0,0,0.000287109,0.000143554,0,0,0,0,0.009187482,"CAATINGA",-9.72103,-37.60483,2015-07-23,"Rainy",10.3,49.3,"Terrestrial",0.208924949,18,0.390549236,0.274064286,1.0625,14.375
"4","October","Curralinho",0,0,0,0.47979798,0.01010101,0,0,0,0.0003367,0,0.012121212,0,0,0,0,0,0,0,0,0,0,0.094276094,0.076767677,0,0,0,0,0.0003367,0,0,0.218181818,0.078114478,0,0,0,0,0.006060606,0,0,0,0,0,0,0.0003367,0,0,0,0.023569024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.72103,-37.60483,2015-10-20,"Dry",49.9,0.1,"Aquatic",499,12,0.003666571,0.126464286,0,10.0625
"5","January","Ilha do ouro",0,0,0,0.053167922,0,0,0,0.000443066,0.019494905,0.132919805,0,0,0,0,0,0,0.000443066,0,0,0,0,0.354452813,0.070890563,0.009747452,0,0,0,0,0.005316792,0,0.276473195,0,0,0,0,0,0.053167922,0,0,0.00443066,0,0,0,0.001329198,0,0.00443066,0,0,0,0,0.00886132,0,0.00221533,0,0.00221533,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-01-20,"Dry",49.3,2.1,"Aquatic",23.47619048,17,0.181617435,0.140621429,0,0.0625
"6","April","Ilha do ouro",0,0.000271248,0,0,0,0,0,0,0.00045208,0,0.009764919,0,0,0,0,0,0,0,0,0,0,0,0.944846293,0,0,0,0,0,0,0,0.027124774,0,0,0,0,0,0,0,0,0,0,0,0,0.008679928,0,0,0,0,0,0,0,0,0.002712477,0.004882459,0,0.001265823,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-04-14,"Rainy",60.8,3,"Aquatic",20.26666667,9,0.200088142,0.135800001,0.25,13.6875
"7","July","Ilha do ouro",0,0.00605449,0.000504541,0.062058527,0,0,0.002522704,0,0.14530777,0,0.095358224,0,0,0,0.002018163,0,0,0,0,0,0,0.090817356,0.130676085,0,0.000504541,0,0,0,0,0,0.363269425,0,0,0,0,0,0.004036327,0,0,0,0,0.049949546,0,0.007568113,0,0,0,0,0,0,0,0,0,0.009081736,0,0,0,0,0,0,0,0,0,0.030272452,"CAATINGA",-9.89194,-37.248,2015-07-23,"Rainy",24.9,6.1,"Aquatic",4.081967213,16,0.150144303,0.21248,2.6875,10.375
"8","October","Ilha do ouro",0,0,0,0.000698934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000174734,0,0,0,0,0.995981129,0.001747335,0,0,0,0,0,0,0.000873668,0,0,0,0,0,0,0,0,0,0,0,0,0.000174734,0.000174734,0,0,0,0,0,0,0,0.000174734,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.89194,-37.248,2015-10-20,"Dry",30.5,1.1,"Aquatic",27.72727273,8,0.150144303,0.164400001,0,11.1875
"9","January","Niteroi",0,0,0,0.001518891,0,0.000379723,0,0,0.035883805,0,0.000759446,0,0,0,0,0,0,0,0.003797228,0,0,0,0.905259161,0.00132903,0,0,0,0,0.000189861,0,0.042528954,0,0,0,0,0,0,0,0,0.000949307,0,0,0,0.001708753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005695842,"CAATINGA",-9.76083,-37.43322,2015-01-20,"Dry",35.8,3.3,"Aquatic",10.84848485,12,0.293769032,0.143,0,0
"10","April","Niteroi",0,0,0,0.136176581,0,0,0,0,0.202020202,0,0.000374111,0,0.018705574,0,0,0,0,0,0,0,0,0,0.395061728,0.002992892,0,0,0,0,0.001122334,0,0.153385709,0,0,0,0,0,0.003741115,0,0,0.005611672,0,0.058361392,0,0,0,0,0,0,0,0,0,0.022446689,0,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.76083,-37.43322,2015-04-14,"Rainy",36.6,3.7,"Aquatic",9.891891892,12,0.053755781,0.15731818,0,20.3125
"11","July","Niteroi",0,0,0,0.01039501,0,0.000693001,0,0,0.058212058,0,0.116424116,0,0,0,0.002772003,0,0,0,0,0.020790021,0,0.089397089,0.417879418,0.006930007,0,0,0,0.002772003,0.006930007,0,0.249480249,0,0,0,0.003465003,0,0,0,0,0,0,0.005544006,0,0.006237006,0,0.001386001,0,0,0,0,0,0,0,0.000693001,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.76083,-37.43322,2015-07-23,"Rainy",21.9,1.2,"Aquatic",18.25,17,0.346184355,0.2669,0.9375,8.875
"12","October","Niteroi",0,0,0,0.026493506,0,0,0.00017316,0,0.150822511,0,0.016969697,0,0,0,0,0,0,0.00017316,0,0,0,0.009350649,0.300952381,0,0,0,0,0.00017316,0,0.003463203,0.475151515,0,0,0,0,0,0,0,0,0,0,0.00034632,0,0.012121212,0,0,0,0,0,0,0,0,0,0.003809524,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.76083,-37.43322,2015-10-20,"Dry",33.1,2.1,"Aquatic",15.76190476,13,0.178918166,0.153199998,0,9.375
"13","January","UHE Xingo",0.000141924,0,0.001703094,0,0,0,0,0.024411013,0.030655691,0.008799319,0.014902072,0,0.013624752,0.000141924,0,0,0,0.001135396,0,0.038319614,0,0.008799319,0.001419245,0.689753051,0,0,0.001703094,0.00127732,0,0.033636106,0.070678399,0.000141924,0,0.000141924,0,0,0,0,0,0,0,0.024411013,0,0.024269089,0,0.001419245,0,0,0.006528527,0.000709622,0,0.000567698,0,0.000141924,0,0,0,0,0.000141924,0,0.000283849,0.000141924,0,0,"CAATINGA",-9.63033,-37.75878,2015-01-19,"Dry",35.6,64.2,"Terrestrial",0.554517134,29,0.186778016,0.127133333,0,0
"14","April","UHE Xingo",0,0,0,0,0,0,0,0.003220612,0.025764895,0,0.000805153,0.000805153,0,0,0,0,0.001610306,0,0,0,0,0,0.019323671,0,0,0,0,0.082125604,0,0,0.608695652,0,0,0,0.00805153,0,0,0,0,0,0,0.207729469,0,0.007246377,0,0.033816425,0,0,0,0,0,0,0,0.000805153,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.63033,-37.75878,2015-07-22,"Rainy",9.5,1.8,"Aquatic",5.277777778,13,0.147383709,0.340666667,0,24.5
"15","October","UHE Xingo",0,0,0,0.081799591,0,0,0,0,0.00204499,0.00408998,0.012269939,0,0,0,0,0,0,0,0,0.040899796,0,0,0.00204499,0.00204499,0,0,0.020449898,0.00204499,0,0,0.828220859,0,0,0,0,0,0,0,0,0,0,0,0,0.00408998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAATINGA",-9.63033,-37.75878,2015-10-19,"Dry",4.9,1.2,"Aquatic",4.083333333,11,0.134430342,0.178353333,0,9.75
"16","January","Amparo",0.000237023,0,0,0.00474046,0,0,0,0,0.106660346,0,0.008532828,0,0.00474046,0,0,0,0,0,0,0,0,0.023465276,0.144109979,0.000237023,0,0,0,0,0,0.00474046,0.686892629,0,0,0,0,0.000474046,0,0,0,0,0,0.003555345,0,0,0.00711069,0.00237023,0,0.001185115,0,0,0,0,0,0.000948092,0,0,0,0,0,0,0,0,0,0,"ATLANTIC",-10.12794,-36.92431,2015-01-21,"Dry",37.5,31.2,"Aquatic",1.201923077,21,0.287571836,0.195078571,0,0.875
"17","April","Amparo",0,0,0.003226674,0.001613337,0.002688895,0,0,0.000134445,0.000537779,0.001075558,0.000672224,0,0,0,0,0,0,0.001075558,0,0,0,0,0.018822264,0.306534015,0,0,0,0.001210003,0.000134445,0,0.4347943,0,0,0,0.002688895,0,0,0,0,0.002957784,0,0.209733799,0,0.008738908,0,0,0,0,0,0.002420005,0,0,0,0.000403334,0,0,0,0.000134445,0.000403334,0,0,0,0,0,"ATLANTIC",-10.12794,-36.92431,2015-04-15,"Rainy",9.5,323.9,"Terrestrial",0.02933004,16,0.204142906,0.193950002,0,22.3125
"18","July","Amparo",0,0,0.000509497,0.001719554,0,0,0,0.002388269,3.18e-05,0.000127374,0,0,1.59e-05,0,0,0,0,0,3.18e-05,6.37e-05,0,7.96e-05,0,0.987151114,0,0,0.000477654,0,1.59e-05,0,0,0,7.96e-05,0,1.59e-05,0,0,0,0,0,0,0,0.000286592,1.59e-05,0,0,0,0,0,6.37e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692598,"ATLANTIC",-10.12794,-36.92431,2015-07-24,"Rainy",25.3,4.2,"Aquatic",6.023809524,18,0.175353853,0.304057143,5.375,24
"19","April","Gararu",0,0.001463272,0.001463272,0.000585309,0,0,0,0.000292654,0.00468247,0.002926544,0.049751244,0,0,0,0,0,0,0,0.002341235,0,0.002926544,0.011706175,0.174129353,0.007023705,0,0,0,0.000292654,0,0,0.194907814,0,0,0,0,0,0,0,0,0,0,0.096575944,0,0.036581797,0.000877963,0,0.000585309,0,0,0,0,0,0,0,0,0.410886743,0,0,0,0,0,0,0,0,"ATLANTIC",-9.96469,-37.08375,2015-04-15,"Rainy",43.8,1.8,"Aquatic",24.33333333,19,0.168613494,0.214350001,0,6.625
"20","July","Gararu",0,0,0,0.016272644,0,0,0,0.005066012,0.017731041,0.045594105,0,7.68e-05,0.001995702,0,0,0,7.68e-05,0.001535155,0,0,0,0.103622966,0,0.530549586,0.000460547,7.68e-05,0.000307031,0,7.68e-05,0.001228124,0.209395149,7.68e-05,0,0,0,0.000767578,0,0.000767578,0,0,0.009364446,0,0,0.00069082,0,0,0,0,0.000767578,0.005066012,0,0.000153516,0,7.68e-05,0,0.002686521,0.000460547,7.68e-05,0.002149217,0.000997851,0,0.001228124,0.000307031,0.04029782,"ATLANTIC",-9.96469,-37.08375,2015-07-24,"Rainy",52.8,71.2,"Terrestrial",0.741573034,33,0.19510713,0.3849,8.9375,22.5625
"21","October","Gararu",0,0,0,0.099582396,0,0,0,0,0.001927401,0,0.001284934,0,0,0,0.000321234,0.003212335,0,0,0,0,0,0.026983617,0.640860906,0.042402827,0,0,0,0,0,0,0.172181176,0,0,0,0,0,0,0,0,0.003212335,0,0,0,0.008030838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATLANTIC",-9.96469,-37.08375,2015-10-21,"Dry",25.4,2.2,"Aquatic",11.54545455,11,0.004326153,0.192814283,0,7.1875
"22","January","Propria",0.000241138,0,0.000241138,0.009645527,0,0,0,0.001205691,0.103448276,0,0.010127803,0,0.000723415,0,0,0,0,0,0,0,0,0.041475766,0.003375934,0.012056909,0,0,0,0,0,0,0.665059079,0.000241138,0,0,0.000482276,0,0,0,0.000241138,0,0,0.049192187,0,0.002170244,0,0.099831203,0,0,0,0,0,0,0.000241138,0,0,0,0,0,0,0,0,0,0,0,"ATLANTIC",-10.20939,-36.83181,2015-01-21,"Dry",28,1.7,"Aquatic",16.47058824,18,0.139420923,0.083473333,0,0.6875
"23","April","Propria",0,0.000276549,0,0,0,0,0,0,0,0,0.001659292,0,0.000553097,0,0,0,0,0,0.000829646,0,0,0,0.139380531,0.006637168,0,0,0,0,0,0,0.308628319,0.000276549,0,0,0,0,0,0,0,0,0,0.483960177,0,0.000276549,0,0.045630531,0,0,0,0,0,0,0.000829646,0.011061947,0,0,0,0,0,0,0,0,0,0,"ATLANTIC",-10.20939,-36.83181,2015-04-15,"Rainy",24.8,5.6,"Aquatic",4.428571429,13,0.202724634,0.090957144,0,17.25
"24","July","Propria",0,0,0.000130174,0,0,0,0,0.000130174,0.001301744,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000130174,0.995834418,0,0,0,0,0.000130174,0,0.000650872,0,0,0,0,0.000390523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001301744,0,0,0,0,0,0,"ATLANTIC",-10.20939,-36.83181,2015-07-21,"Rainy",1.6,86.1,"Terrestrial",0.018583043,9,0,0.12982,0,27.5625
